"lake_id","site_id","visit","site_depth","site_wgt","lat","long","site_depth_units","site_wgt_units","sample_start","sample_end","chla_collection_date"
1007,"7",1,7.1,0.2075,"39.532013"," -82.053543","m","dimensionless",2016-06-21,2016-06-22,NA
1007,"8",1,6.9,0.2075,"39.527225"," -82.052875","m","dimensionless",2016-06-21,2016-06-22,NA
1007,"19",1,2.5,0.124285714285714,"39.538080"," -82.028578","m","dimensionless",2016-06-21,2016-06-22,NA
1007,"20",1,1.8,0.124285714285714,"39.543176"," -82.030715","m","dimensionless",2016-06-21,2016-06-22,NA
1007,"21",1,0.6,0.124285714285714,"39.557061"," -82.027460","m","dimensionless",2016-06-21,2016-06-22,2016-06-20
1007,"22",1,1.1,0.124285714285714,"39.549438"," -82.033658","m","dimensionless",2016-06-21,2016-06-22,NA
1007,"23",1,2.3,0.124285714285714,"39.542875"," -82.033808","m","dimensionless",2016-06-21,2016-06-22,NA
1007,"24",1,3.3,0.124285714285714,"39.536765"," -82.028311","m","dimensionless",2016-06-21,2016-06-22,NA
1007,"25",1,8.8,0.124285714285714,"39.553451"," -82.024676","m","dimensionless",2016-06-21,2016-06-22,NA
1008,"2",1,6.4,1.056,"39.542720"," -83.995813","m","dimensionless",2016-06-16,2016-06-17,NA
1008,"3",1,12.8,1.056,"39.518936"," -84.000326","m","dimensionless",2016-06-16,2016-06-17,NA
1008,"4",1,1.2,0.974,"39.500015"," -84.031898","m","dimensionless",2016-06-16,2016-06-17,NA
1008,"5",1,NA,0.974,"39.504823"," -84.026096","m","dimensionless",2016-06-16,2016-06-17,NA
1008,"6",1,6.7,1.056,"39.528905"," -83.984820","m","dimensionless",2016-06-16,2016-06-17,NA
1008,"7",1,6.7,0.974,"39.510996"," -84.017698","m","dimensionless",2016-06-16,2016-06-17,NA
1008,"8",1,3.7,0.974,"39.499860"," -84.040798","m","dimensionless",2016-06-16,2016-06-17,NA
1008,"9",1,2.7,1.056,"39.520326"," -83.991620","m","dimensionless",2016-06-16,2016-06-17,NA
1008,"10",1,8.5,1.056,"39.536788"," -83.988711","m","dimensionless",2016-06-16,2016-06-17,NA
