"lake_id","name","value","units"
328,"hylak_id","1052513",NA
328,"nid_id","WY01282",NA
1,"nhdplus_comid","21677972",NA
1,"lagoslakeid","244053",NA
1,"hylak_id","113618",NA
2,"nla17_site_id","NLA17_MS-10002",NA
2,"nla12_site_id","NLA12_MS-107",NA
2,"nla07_site_id","NLA06608-0432",NA
2,"nhdplus_comid","15252778",NA
2,"gnis_id","690215",NA
2,"lagoslakeid","287042",NA
2,"hylak_id","9378",NA
2,"grand_id","1101",NA
2,"nid_id","MS01496",NA
14,"nla17_site_id","NLA17_MS-10015",NA
14,"nla12_site_id","NLA12_MS-102",NA
14,"nla07_site_id","NLA06608-0812",NA
14,"nhdplus_comid","19139667",NA
14,"hylak_id","1064609",NA
84,"nla17_site_id","NLA17_TN-10004",NA
84,"nla12_site_id","NLA12_TN-119",NA
84,"nhdplus_comid","18407394",NA
84,"gnis_id","1292729",NA
84,"lagoslakeid","270107",NA
84,"nid_id","TN03707",NA
117,"nla17_site_id","NLA17_GA-10023",NA
117,"nla22_site_id","NLA22_GA-10012",NA
117,"nhdplus_comid","6495242",NA
117,"gnis_id","310382",NA
117,"lagoslakeid","243038",NA
117,"hylak_id","9403",NA
117,"grand_id","1862",NA
117,"nid_id","GA06143",NA
51,"nla17_site_id","NLA17_MA-10004",NA
51,"nla12_site_id","NLA12_MA-105",NA
51,"nhdplus_comid","9343025",NA
51,"gnis_id","617920",NA
51,"lagoslakeid","127944",NA
51,"hylak_id","1050358",NA
51,"nid_id","MA00970",NA
52,"nla17_site_id","NLA17_CT-10010",NA
52,"nla22_site_id","NLA22_CT-10009",NA
52,"nla07_site_id","NLA06608-1010",NA
52,"nhdplus_comid","120052268",NA
52,"lagoslakeid","7429",NA
53,"nla17_site_id","NLA17_CT-10004",NA
53,"nla12_site_id","NLA12_CT-103",NA
53,"nla07_site_id","NLA06608-0006",NA
53,"nhdplus_comid","7711476",NA
53,"gnis_id","209057",NA
53,"lagoslakeid","76789",NA
53,"hylak_id","1053336",NA
53,"nid_id","CT00473",NA
57,"nla17_site_id","NLA17_RI-10002",NA
57,"nla22_site_id","NES22-10006",NA
57,"nla12_site_id","NLA12_RI-103",NA
57,"nla07_site_id","NLA06608-0690",NA
57,"nhdplus_comid","6117396",NA
57,"gnis_id","1218849",NA
57,"lagoslakeid","7460",NA
57,"hylak_id","1052360",NA
57,"nid_id","RI02501",NA
57,"nhdplus_comid","6117428",NA
64,"nla17_site_id","NLA17_CT-10005",NA
64,"nla12_site_id","NLA12_CT-126",NA
64,"nhdplus_comid","6161203",NA
